U+52E2|shì(442) shi(10)
U+52E4|qín(100)
U+52F5|lì(93)
U+52F8|quàn(121)
U+52FB|yún(34)
U+52FE|gōu(42)
U+5300|yún(34)
U+5305|bāo(706)
U+5306|cōng(124)
U+5316|huà(2148)
U+5317|běi(726)
U+5319|shi(13)
U+5320|jiang(70) jiàng(16)
U+532A|fěi(118)
U+532F|huì(73)
U+5339|pǐ(79)
U+533A|qū(1211)
U+533B|yī(460)
U+533E|biǎn(23)
U+5340|qū(1211)
U+5341|shí(4082)
U+5343|qiān(881)
U+5347|shēng(197)
U+5348|wǔ(258) wu(12)
U+534A|bàn(1143)
U+534E|huá(29)
U+534F|xié(150)
U+5351|bēi(13)
U+5354|xié(150)
U+5355|dān(603)
U+5356|mài(479) mai(51)
U+5357|nán(749)
U+535A|bó(121)
U+535C|bo(25)
U+5360|zhàn(343)
U+5361|kǎ(28)
U+5367|wò(45)
U+536B|wèi(340)
U+5370|yìn(300)
U+5371|wēi(308)
U+5373|jí(511)
U+5374|què(1157)
U+5375|luǎn(87)
U+5377|juǎn(115) juàn(14)
U+5378|xiè(28)
U+537B|què(1157)
U+5382|chǎng(731)
U+5385|tīng(59)
U+5386|lì(819)
U+5389|lì(146)
U+538B|yā(625)
U+538C|yàn(67)
U+5395|cè(10)
U+5398|lí(69)
U+539A|hòu(202)
U+539F|yuán(1701)
U+53A2|xiāng(18)
U+53A6|shà(17)
U+53A8|chú(48)
U+53AD|yàn(67)
U+53B2|lì(146)
U+53BB|qù(7347)
U+53BF|xiàn(429)
U+53C2|cān(525) shēn(25)
U+53C3|cān(525) shēn(25)
U+53C8|yòu(4892)
U+53CA|jí(721)
U+53CB|you(437) yǒu(275)
U+53CC|shuāng(373)
U+53CD|fǎn(2114)
U+53D1|fā(4834) fa(174) fà(80)
U+53D4|shū(215) shu(153)
U+53D6|qǔ(916)
U+53D7|shòu(1082)
U+53D8|biàn(1669)
U+53D9|xù(18)
U+53DB|pàn(68)
U+53E0|dié(39)
U+53E2|cóng(69)
U+53E3|kǒu(1647) kou(74)
U+53E4|gǔ(440)
U+53E5|jù(624)
U+53E6|lìng(476)
U+53EA|zhǐ(3118) zhī(749)
U+53EB|jiào(2238)
U+53EC|zhào(235)
U+53ED|ba(25)
U+53EE|dīng(38)
U+53EF|kě(6054)
U+53F0|tái(530)
U+53F2|shǐ(847)
U+53F3|yòu(490)
U+53F6|yè(301)
U+53F7|hào(462) hao(16) háo(12)
U+53F8|sī(309)
U+53F9|tàn(153)
U+53FC|diāo(16)
U+5401|xū(20) yù(12)
U+5403|chī(1684)
U+5404|gè(1806)
U+5406|yāo(37)
U+5408|hé(1585)
U+5409|jí(13)
U+540A|diào(59)
U+540C|tóng(4634) tong(34) tòng(17)
U+540D|míng(767)
U+540E|hòu(4342)
U+5410|tǔ(73) tù(38)
U+5411|xiàng(2542)
U+5413|xià(135)
U+5417|ma(1456) má(93)
U+541B|jūn(34)
U+541E|tūn(30)
U+541F|yín(24)
U+5426|fǒu(230)
U+5427|ba(2073)
U+5428|dūn(157)
U+5429|fēn(48)
U+542B|hán(320)
U+542C|tīng(2028) ting(48)
U+542D|kēng(10)
U+542F|qǐ(60)
U+5435|chǎo(85)
U+5436|ne(2307) nà(13)
U+5438|xī(371)
